v2Code,Matrix,Analyte,Analyte Code,Extraction Name,Extraction Name Code,Extraction reagents/formulation,Extraction Ratio (Soil:Extractant),Extraction Basis,Extraction Time,Analyte Measurement,Analyte Measurement Code,Observation Category,Reporting Unit,Reporting Unit Code,Acceptance,Status,Organization,Citation
L_MODV2_SOIL_ACEN_001,SOIL,ACE nitrogen (soil protein index),ACEN,Soil Protein,SOIL_PROTEIN,Autoclaved Citrate Extractable,1:07,m/v,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,Soil Health Institute,"Schindelbeck, 2016"
L_MODV2_SOIL_ACIDT_001,SOIL,acidity,ACIDT,Barium Chloride,BARIUM_CHLORIDE,Barium Chloride titration,0.083333333,,120 min,H+ ISE,H_ISE,MEASURED,mEq/100g,mEq1hg-1,OFFICIAL,VALID,SSSA,"Hendershot, W. and M. Duquette. 1986. A simple barium chloride method for determining cation exchange capacity and exchangeable cations. Soil Science Society of America journal, 50(3), pp.605-608."
L_MODV2_SOIL_ACIDT_002,SOIL,acidity,ACIDT,,,,,,,Calculation,CALCULATION,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_ASAR_001,SOIL,adjusted sodium adsorption ratio,ASAR,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,ICP-OES / AAS,ICP-OES_AAS,CALCULATION,ratio,ratio,OFFICIAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_ASTAB_001,SOIL,aggregate stability,ASTAB,Image recognition,IMAGE_RECOGNITION,Image recognition,,,,Spectral analysis,SPECTRAL_ANALYSIS,MEASURED,%,prcnt,OFFICIAL,VALID,Soil Health Institute,"Farjardo,et al., 2016"
L_MODV2_SOIL_ASTAB_002,SOIL,aggregate stability,ASTAB,Incubation,INCUBATION,Slake test,N/A,,,Visual,VISUAL,MEASURED,%,prcnt,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_ASTAB_003,SOIL,aggregate stability,ASTAB,Wet Sieving,WET_SIEVING,Eijkamp method,1:05,v/v,,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,Soil Health Institute,"Kemper and Rosenau, 1986. Aggregate Stability and Size Distribution,  Methods of Soil Analysis: Part 1 Physical and Mineralogical Methods, 5.1, Second Edition, Chapter 17"
L_MODV2_SOIL_ASTAB_004,SOIL,aggregate stability,ASTAB,Wet Sieving,WET_SIEVING,Wet seive,1:05,v/v,,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,Soil Health Institute,"Franzluebbers, et al., 2000"
L_MODV2_SOIL_ASTAB_005,SOIL,aggregate stability,ASTAB,Slaking From Raindrop Impact,SLAKING_FROM_RAINDROP_IMPACT,Deionized Water,1:30,Slaking,5 min,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,EXPERIMENTAL,VALID,Cornell,https://bpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/7/9922/files/2022/04/CSH03-Wet-Aggregate-Stability-SOP-4-2022.pdf
L_MODV2_SOIL_ASTAB_006,SOIL,aggregate stability,ASTAB,Volumetric Aggergrate Stability Test,VOLUMETRIC_AGGERGATE_STABILITY_TEST,Deionized Water,N/A,Calculation,3 min,Volume,Volume,MEASURED,%,prcnt,PROPRIETARY,VALID,Woods End Laboratories,N/A
L_MODV2_SOIL_AL_001,SOIL,aluminum,AL,Ammonium Chloride/Barium Chloride,AMMONIUM_CHLORIDE_BARIUM_CHLORIDE,NH4Cl/BaCl2,,m/v,,ICP-OES,ICP-OES,MEASURED,mEq/100g,mEq1hg-1,PROVISIONAL,VALID,,https://www.naptprogram.org/files/napt/western-states-method-manual-2005.pdf
L_MODV2_SOIL_AL_002,SOIL,aluminum,AL,Ammonium Oxalate,AMMONIUM_OXALATE,Acid Ammonium Oxalate,,m/v,,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,CSSS,"Ross, G. J. and Wang C. 1993. Extractable Al, Fe, Mn, and Si. pp. 239-246. In: Carter, M. R. (ed), Soil Sampling and Methods of Analysis, Canadian Society of Soil Sciences, Lewis Publishers, Ann Arbor, MI."
L_MODV2_SOIL_AL_003,SOIL,aluminum,AL,"Aqua Regia, Modified",AQUA_REGIA_MODIFIED,Reverse Aqua Regia (1:3 mixture of hydrochloric (HCl) and nitric (HNO3) acids),1:10,m/v,20 min,ICP-OES,ICP-OES,MEASURED,%,prcnt,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_AL_004,SOIL,aluminum,AL,Calcium Chloride,CALCIUM_CHLORIDE,0.01 M CaCl2,1:10,m/v,120 min,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,WEPAL,"Houba, V.J.G.; Novozamsky, I.; Lexmond, T.M.; Van der Lee, J.J., 2008.  Applicability of 0.01 M CaCl2 as a single extraction solution for the assessment of the nutrient status of soils and other diagnostic purposes. Communications in Soil Science and Plant Analysis, Volume 21, 1990 - Issue 19-20."
L_MODV2_SOIL_AL_005,SOIL,aluminum,AL,Calculation,CALCULATION,Calculation,Calculation,Calculation,Calculation,Calculation,CALCULATION,MEASURED,%,prcnt,PROVISIONAL,VALID,,
L_MODV2_SOIL_AL_006,SOIL,aluminum,AL,DTPA-Sorbitol,DTPA-SORBITOL,"DTPA-Sorbitol (0.005 M DTPA, 0.01 M CaCl2  and 0.10 M Triethanolamine and 0.20M of Sorbitol, adjusted to pH 7.3 and .)",1:02,m/v,120 min,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013, WERA-103. Method S-6.12"
L_MODV2_SOIL_AL_007,SOIL,aluminum,AL,EPA 3050A/B,EPA_3050A_B,"EPA 3050A/B Digestion (Nitric Acid, Hydrochloric Acid), EPA 6010B Determination (ICP-OES)",1:15 (varies),m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
