Matrix,v2Code,Analyte,Analyte Code,Common Method Name,Extraction reagents/formulation,Extraction Ratio,Extraction Basis,Extraction Time,Analyte Measurement Method,Observation Category,Reporting Unit,UoM Code,QUDT Code,QUDT URI,Citation Organization,Citation,Citation Link,Acceptance,Status,Row Added Date,Row Changed Date,Change Comment,Notes
SOIL,L_MODV2_SOIL_ACEN_001,ACE nitrogen (soil protein index),ACEN,Soil Protein,Autoclaved Citrate Extractable,1:07,m/v,,Spectrophotometric,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,Soil Health Institute,"Schindelbeck, 2016",,OFFICIAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg,
SOIL,L_MODV2_SOIL_ACEN_002,ACE nitrogen (soil protein index),ACEN,Soil Protein,Autoclaved Citrate Extractable,1:07,m/v,,Spectrophotometric,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,Soil Health Institute,"Schindelbeck, 2016",,OFFICIAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_ACIDT_001,acidity,ACIDT,Barium Chloride,Barium Chloride titration,0.083333333,,120 min,H+ ISE,MEASURED,mEq/100g,mEq1hg-1,MilliEQ-PER-HectoGM,http://qudt.org/vocab/unit/MilliEQ-PER-HectoGM,SSSA,"Hendershot, W. and M. Duquette. 1986. A simple barium chloride method for determining cation exchange capacity and exchangeable cations. Soil Science Society of America journal, 50(3), pp.605-608.",,OFFICIAL,VALID,2024-11-13T12:00:00Z,,,
SOIL,L_MODV2_SOIL_ACIDT_002,acidity,ACIDT,,,,,,Calculation,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,,,,EXPERIMENTAL,RETIRED,2024-11-13T12:00:00Z,,,
SOIL,L_MODV2_SOIL_ASAR_001,adjusted sodium adsorption ratio,ASAR,Saturated paste,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,"ICP-OES, AAS",CALCULATION,ratio,ratio,UNITLESS,http://qudt.org/vocab/unit/UNITLESS,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC.",,OFFICIAL,VALID,2024-11-13T12:00:00Z,2026-04-03T12:00:00Z,2026-04-03: Terminology harmonization — cross-matrix consistency pass.,
SOIL,L_MODV2_SOIL_ASTAB_001,aggregate stability,ASTAB,Image recognition,Image recognition,,,,Spectral analysis,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,Soil Health Institute,"Farjardo,et al., 2016",,OFFICIAL,VALID,2024-11-13T12:00:00Z,,,
SOIL,L_MODV2_SOIL_ASTAB_002,aggregate stability,ASTAB,Incubation,Slake test,,,,Observation,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,,,,EXPERIMENTAL,VALID,2024-11-13T12:00:00Z,2026-04-03T12:00:00Z,2026-04-03: Final audit fixes applied,
SOIL,L_MODV2_SOIL_ASTAB_003,aggregate stability,ASTAB,Wet Sieving,Eijkamp method,1:05,v/v,,Gravimetric,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,Soil Health Institute,"Kemper and Rosenau, 1986. Aggregate Stability and Size Distribution,  Methods of Soil Analysis: Part 1 Physical and Mineralogical Methods, 5.1, Second Edition, Chapter 17",,OFFICIAL,VALID,2024-11-13T12:00:00Z,,,
SOIL,L_MODV2_SOIL_ASTAB_004,aggregate stability,ASTAB,Wet Sieving,Wet seive,1:05,v/v,,Gravimetric,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,Soil Health Institute,"Franzluebbers, et al., 2000",,OFFICIAL,VALID,2024-11-13T12:00:00Z,,,
SOIL,L_MODV2_SOIL_ASTAB_005,aggregate stability,ASTAB,Slaking From Raindrop Impact,Deionized Water,1:30,Slaking,5 min,Gravimetric,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,Cornell,https://bpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/7/9922/files/2022/04/CSH03-Wet-Aggregate-Stability-SOP-4-2022.pdf,,EXPERIMENTAL,VALID,2024-11-13T12:00:00Z,,,
