v2 Code,v1 Code,Matrix,Analyte,Analyte Code,Extraction Name,Extraction Name v2 Code,Extraction reagents/formulation,Extraction Ratio,Extraction Basis,Extraction Time,Analyte Measurement,v2 Analyte Measurement Code,Observation Category,Reporting Unit,Unit Code,Acceptance,Status,Organization,Citation,Row Added Date,Row Changed Date,Change Comment
L_MODV2_MANURE_5DAYGERM_001,M-5DAYGERM,MANURE,5 day germination,5DAYGERM,,,,,,,,,,None,None,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_7DAYVIGOR_001,M-7DVIGOR,MANURE,7 day vigor,7DAYVIGOR,,,,,,,,,,None,None,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_NH3N_001,M-NH4.12.05,MANURE,ammonia-nitrogen,NH3N,Water,WATER,Steam distillation,Varies,As Received,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_NH3N_002,M-NH4.12.07,MANURE,ammonia-nitrogen,NH3N,Water,WATER,Steam distillation,Varies,As Received,,Titration,TITRATION,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_NH3N_003,M-NH4.12.02,MANURE,ammonia-nitrogen,NH3N,Water,WATER,Steam distillation,Varies,As Received,,Ion Selective Electrode,ION_SELECTIVE_ELECTRODE,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_NH4N_001,,MANURE,ammonium-nitrogen,NH4N,Water,WATER,Reagent grade water,Varies,As Received,20 min,Ion Selective Electrode,ION_SELECTIVE_ELECTRODE,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.1",5-Nov-24,,
L_MODV2_MANURE_NH4N_002,,MANURE,ammonium-nitrogen,NH4N,Potassium chloride,POTASSIUM_CHLORIDE,Acidified 1.0 M KCl,Varies,As Received,30 min,Diffusion Conductivity,DIFFUSION_CONDUCTIVITY,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.2",5-Nov-24,,
L_MODV2_MANURE_NH4N_003,,MANURE,ammonium-nitrogen,NH4N,Sodium hydroxide,SODIUM_HYDROXIDE,10 M NaOH,Varies,As Received,30 min,Titration,TITRATION,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.2",5-Nov-24,,
L_MODV2_MANURE_NH4N_004,,MANURE,ammonium-nitrogen,NH4N,Sodium hydroxide,SODIUM_HYDROXIDE,10 M NaOH,Varies,As Received,20 min,Ion Selective Electrode,ION_SELECTIVE_ELECTRODE,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.1",5-Nov-24,,
L_MODV2_MANURE_NH4N_005,,MANURE,ammonium-nitrogen,NH4N,Water,WATER,Acidified 1.0 M KCl,Varies,As Received,30 min,Titration,TITRATION,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.3",5-Nov-24,,
L_MODV2_MANURE_NH4N_006,M-NH4.13.05,MANURE,ammonium-nitrogen,NH4N,Potassium chloride,POTASSIUM_CHLORIDE,Acidified 1.0 M KCl,Varies,As Received,30 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.2",5-Nov-24,,
L_MODV2_MANURE_AS_001,M-AS.11.05,MANURE,arsenic,AS,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_B_001,M-B.10.05,MANURE,boron,B,Nitric-Perchloric Acid Digestion,NITRIC_PERCHLORIC_ACID,"Nitric acid, perchloric acid",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,AOAC International,AOAC 935.13A ,5-Nov-24,,
L_MODV2_MANURE_B_002,M-B.15.08,MANURE,boron,B,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_B_003,,MANURE,boron,B,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_BD_001,M-BD.00.01,MANURE,bulk density,BD,,,,,,,Gravimetric,GRAVIMETRIC,,g/cm3,g1[cm3]-1,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_CNRATIO_001,M-C:N.04.06,MANURE,C:N ratio,CNRATIO,Combustion,COMBUSTION,Combustion,N/A,Dry basis,Varies,Combustion Analyzer,COMBUSTION_ANALYZER,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-2.1",5-Nov-24,,
