Matrix,v1Code,V2 Code,Analyte,Analyte Code,Common Method Name,Extraction reagents/formulation,Extraction Ratio,Extraction Basis,Extraction Time,Analyte Measurement Method,Observation Category,Reporting Unit,Acceptance,Status,Citation Organization,Citation,Citation Link,Row Added Date,Row Changed Date,Change Comment,Notes
PLANT,,L_MODV2_PLANT_AL_001,aluminum,AL,"Microwave-Assisted Acid Digestion, Closed Vessel","HNO3, HF",,,,"ICP-OES, AAS",MEASURED,%,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. ""Method 3052: Acid Digestion of Sediments, Sludges, and Soils,"" Revision 2. Washington, DC.",https://www.epa.gov/sites/default/files/2015-06/documents/epa-3052.pdf,2026-04-02T12:00:00Z,,,
PLANT,B-AL.02.04,L_MODV2_PLANT_AL_002,aluminum,AL,"Acid Wet Digestion, Open Vessel","HNO3, H2O2",,,,"ICP-OES, AAS",MEASURED,mg/kg,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 2013, WERA-103. Method B-4.25. Phosphorus, Potassium, Sulfur, Calcium, Magnesium Sodium, Zinc, Manganese, Copper, Iron and Molybdenum of Botanical Materials",,2026-04-02T12:00:00Z,2026-04-07T12:00:00Z,"UoM corrected from kg/ha to mg/kg per WERA B-4.25 Calculations: Mn, Al, Fe → mg/kg nearest 1",
PLANT,B-AL.13.04,L_MODV2_PLANT_AL_003,aluminum,AL,"Microwave-Assisted Acid Digestion, Closed Vessel","HNO3, H2O2",Varies,m/m,,ICP-OES,MEASURED,%,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 8. Microwave Digestion of Plant Tissue in a Closed Vessel and Ch. 21 Elemental Determination by Inductively Coupled Plasma Atomic Emission Spectroscopy. Taylor & Francis Group.",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,,,
PLANT,B-AL.13.04,L_MODV2_PLANT_AL_004,aluminum,AL,"Microwave-Assisted Acid Digestion, Closed Vessel","HNO3, H2O2",Varies,m/m,,"ICP-OES, AAS",MEASURED,%,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 8. Microwave Digestion of Plant Tissue in a Closed Vessel and Ch. 20. Elemental Determination by Atomic Absorpotion  Spectophotometry or Ch. 21 Elemental Determination by Inductively Coupled Plasma Atomic Emission Spectroscopy. Taylor & Francis Group .",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,,,Analyte not listed in Reference
PLANT,B-AL.12.04,L_MODV2_PLANT_AL_005,aluminum,AL,"Microwave-Assisted Acid Digestion, Open Vessel","HNO3, HCl, H2O2",,,,"ICP-OES, AAS",MEASURED,mg/kg,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 7. Microwave Digestion of Plant Tissue in an Open Vessel and Ch. 21 Elemental Determination by Inductively Coupled Plasma Atomic Emission Spectroscopy. Taylor & Francis Group, and Ch. 20. Elemental Determination by Atomic Absorpotion  Spectophotometry. Taylor & Francis Group .",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,2026-04-07T12:00:00Z,UoM corrected to mg/kg per Kalra 1998 Ch.7 Table 7.1 (ICP-AES results in mg/kg),
PLANT,B-AL.11.04,L_MODV2_PLANT_AL_006,aluminum,AL,"Acid Wet Digestion, Open Vessel","HNO3, HClO4",,,,"ICP-OES, AAS",MEASURED,mg/kg,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 6 Nitric-Perchloric Acid Wet Digestion in an Open Vessel; Ch. 21 Elemental Determination by Inductively Coupled Plasma Atomic Emission Spectroscopy, and Ch. 20. Elemental Determination by Atomic Absorpotion  Spectophotometry. Taylor & Francis Group .",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,2026-04-07T12:00:00Z,UoM corrected from kg to mg/kg per Kalra 1998 Ch.6 trace element calculation formula,
PLANT,,L_MODV2_PLANT_AL_007,aluminum,AL,Muffle Furnace Dry Ashing,HCl,Direct,m/m,,"ICP-OES, AAS",MEASURED,%,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 5 High-Temperature Oxidation: Dry Ashing, Ch. 21 Elemental Determination by Inductively Coupled Plasma Atomic Emission Spectroscopy,and Ch. 20. Elemental Determination by Atomic Absorpotion  Spectophotometry. Taylor & Francis Group .",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,,,
PLANT,,L_MODV2_PLANT_AL_008,aluminum,AL,Energy Dispersive X-Ray Fluorescence (ED-XRF),,Varies,m/m,,ED-XRF Instrument,MEASURED,%,OFFICIAL,VALID,,"de Carvalho, G.G. Arantes, M.B. Guerra, A. Adame, C.S. Nomura, P.V. Oliveira, H.W.P. de Carvalho, D. Santos, L.C. Nunes, and F.J. Krug. ""Recent advances in LIBS and XRF for the analysis of plants."" Journal of Analytical Atomic Spectrometry 33, no. 6 (2018): 919-944.",,2026-04-02T12:00:00Z,,,Measured using ED-PXRF
PLANT,,L_MODV2_PLANT_AL_009,aluminum,AL,Laser Induced Breakdown Spectroscopy (LIBS),,,,,LIBS Instrument,MEASURED,%,OFFICIAL,VALID,,"de Carvalho, G.G. Arantes, M.B. Guerra, A. Adame, C.S. Nomura, P.V. Oliveira, H.W.P. de Carvalho, D. Santos, L.C. Nunes, and F.J. Krug. ""Recent advances in LIBS and XRF for the analysis of plants."" Journal of Analytical Atomic Spectrometry 33, no. 6 (2018): 919-944.",,2026-04-02T12:00:00Z,,,
PLANT,B-AL.12.13,L_MODV2_PLANT_AL_010,aluminum,AL,Calculation,Al (CC),,,,,MEASURED,kg/ha,OFFICIAL,RETIRED,,,,2026-04-02T12:00:00Z,,,carry over from v1
